AccidentUID,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,CantonCode,AccidentSeverityCategory,AccidentInvolvingMotorcycle
string,,,,,,,
meta,,,,,,,
string,,,,,,,
meta,,,,,,,
BECCCB35D85A018EE0430A839427F016,2012.0,Mai,Do,Abend,,Leicht,1.0
BECD8ACCDFEC00A4E0430A8394275067,2012.0,Mai,Do,Vormittag,,Leicht,0.0
BEE5EA5B1B2E0196E0430A839427F371,2012.0,Mai,Do,Vormittag,,Schwer,0.0
C1A05513C4D601EEE0430A839427CDA0,2012.0,Jun,Do,Nachmittag,,Leicht,0.0
C22FAC95483A00B4E0430A83942786A8,2012.0,Jun,Do,Nachmittag,,Leicht,0.0
C44F2C5DCC3E0190E0430A839427E331,2012.0,Jun,Mo,Nachmittag,,Schwer,0.0
9ACF17932920603CE0430A865E33603C,2011.0,Feb,Mi,Nachmittag,,Leicht,0.0
9E21CA9FFF65E0ECE0430A865E33E0EC,2011.0,Mar,Fr,Abend,,Schwer,0.0
A7045526D3210106E0430A8394270106,2011.0,Jul,So,Nacht,,Leicht,0.0
A7762F40BDB9008AE0430A839427008A,2011.0,Jul,Do,Nachmittag,,Leicht,0.0
AAC3D095390600AEE0430A83942700AE,2011.0,Sep,Mi,Abend,,Leicht,0.0
AAC434B2264E00E0E0430A83942700E0,2011.0,Sep,Fr,Vormittag,,Leicht,1.0
ADBD5F9686D20072E0430A8394270072,2011.0,Sep,Sa,Nachmittag,,Leicht,0.0
AE9BB16EDA76000EE0430A839427000E,2011.0,Okt,Mi,Abend,,Leicht,0.0
AFCBAD387EF8007AE0430A839427007A,2011.0,Okt,Mi,Abend,,Leicht,0.0
B120818D691B0006E0430A8394270006,2011.0,Nov,Mi,Nachmittag,,Leicht,0.0
B2F43D6F194500FEE0430A83942700FE,2011.0,Dez,Fr,Nachmittag,,Leicht,0.0
B71AF25C37150032E0430A8394270032,2012.0,Jan,Mo,Nacht,,Schwer,0.0
B72DAF509116000AE0430A839427000A,2012.0,Mar,Di,Vormittag,,Leicht,0.0
B733D4C0F4AD003CE0430A839427003C,2012.0,Jan,Mo,Nachmittag,,Schwer,0.0
BC9F2257153E013EE0430A839427013E,2012.0,Apr,Do,Vormittag,,Leicht,0.0
BECD8ACCFD1100A4E0430A8394275067,2012.0,Mai,So,Nachmittag,,Leicht,0.0
C0C76DCB13900080E0430A83942729A8,2012.0,Mai,Mi,Vormittag,,Leicht,0.0
C231D9CED1FA019CE0430A8394270ED9,2012.0,Jun,Do,Vormittag,,Leicht,1.0
C46C80C52F19004AE0430A8394271DEC,2012.0,Aug,Fr,Nachmittag,,Leicht,1.0
C4A30E89BCE301A6E0430A83942716CD,2012.0,Jul,Di,Nachmittag,,Leicht,0.0
D6889FB778410154E0430A8394274C53,2013.0,Feb,Mi,Nachmittag,,Leicht,0.0
9F9FC69C332E70AAE0430A865E3370AA,2011.0,Apr,Di,Abend,,Schwer,0.0
A2349D02C00C307CE0430A865E33307C,2011.0,Mai,Sa,Nachmittag,,Leicht,0.0
A54348233F903054E0430A865E333054,2011.0,Jun,Do,Abend,,Schwer,0.0
A866FEB64D1600DCE0430A83942700DC,2011.0,Jul,Di,Nachmittag,,Leicht,0.0
A8F9546DCE6500C4E0430A83942700C4,2011.0,Jul,Mi,Nachmittag,,Leicht,0.0
B120818D64570006E0430A8394270006,2011.0,Nov,Mi,Nachmittag,,Schwer,0.0
B3F4597342C60028E0430A8394270028,2011.0,Dez,Mo,Vormittag,,Leicht,0.0
